file_name,external_id,client_id,loan_id,status,repayments_successful,repayments_failed,total_transactions,disbursement_date,total_disbursement_amount,total_repayment_amount,moratorium_processed,moratorium_period,moratorium_start_date,processing_time
2166.json,2166,35034,37590,SUCCESS,84,0,84,21 May 2015,3000000.0,6300000.0,False,,,
2170.json,2170,35033,37591,SUCCESS,60,0,60,25 May 2015,150000.0,270000.0,False,,,
2240.json,2240,35035,37592,SUCCESS,59,0,59,24 July 2015,1000000.0,1800000.0,False,,,
2372.json,2372,35040,37593,SUCCESS,84,0,84,29 October 2015,500000.0,1050000.0,False,,,
2654.json,2654,35038,37594,SUCCESS,84,0,84,15 March 2016,500000.0,1050000.0,False,,,
28169.json,28169,35050,37595,FAILED,0,1,1,5 June 2008,120000.0,0,False,,,
36944.json,36944,35042,37596,FAILED,0,36,36,6 June 2013,150000.0,0,False,,,
41648.json,41648,35036,37597,SUCCESS,21,0,21,30 April 2015,135000.0,170100.0,False,,,
41673.json,41673,35046,37598,SUCCESS,32,0,32,30 April 2015,250000.0,352000.0,False,,,
41714.json,41714,35044,37599,FAILED,0,21,21,8 May 2015,110000.0,0,False,,,
41828.json,41828,35032,37600,SUCCESS,21,0,21,22 May 2015,130000.0,163800.0,False,,,
42006.json,42006,35039,37601,SUCCESS,26,0,26,16 June 2015,130000.0,174902.0,False,,,
42090.json,42090,35043,37602,SUCCESS,32,0,32,30 June 2015,250000.0,352000.0,False,,,
42272.json,42272,35048,37603,SUCCESS,26,0,26,25 July 2015,220000.0,295984.0,False,,,
42408.json,42408,35049,37604,SUCCESS,26,0,26,12 August 2015,90000.0,122850.0,False,,,
42630.json,42630,35047,37605,SUCCESS,32,0,32,12 September 2015,260000.0,366080.0,False,,,
42745.json,42745,35045,37606,SUCCESS,21,0,21,30 September 2015,200000.0,252000.0,False,,,
42851.json,42851,35051,37607,SUCCESS,26,0,26,16 October 2015,115000.0,154726.0,False,,,
42979.json,42979,35052,37608,FAILED,0,21,21,5 November 2015,150000.0,0,False,,,
42980.json,42980,35053,37609,FAILED,0,21,21,5 November 2015,230000.0,0,False,,,
43051.json,43051,35054,37610,SUCCESS,32,0,32,17 November 2015,250000.0,340800.0,False,,,
43186.json,43186,35055,37611,FAILED,0,32,32,5 December 2015,225000.0,0,False,,,
43303.json,43303,35056,37612,SUCCESS,16,0,16,22 December 2015,200000.0,240000.0,False,,,
43376.json,43376,35057,37613,FAILED,0,26,26,2 January 2016,110000.0,0,False,,,
43492.json,43492,35058,37614,SUCCESS,11,0,11,21 January 2016,80000.0,91740.0,False,,,
43493.json,43493,35061,37615,SUCCESS,11,0,11,21 January 2016,110000.0,126115.0,False,,,
43562.json,43562,35059,37616,SUCCESS,20,1,21,30 January 2016,90000.0,110700.0,False,,,
43649.json,43649,35060,37617,SUCCESS,11,0,11,19 February 2016,80000.0,91740.0,False,,,
4386.json,4386,35062,37618,SUCCESS,83,0,83,11 May 2018,700000.0,1764000.0,False,,,
44116.json,44116,35067,37619,SUCCESS,21,0,21,23 May 2016,100000.0,129150.0,False,,,
44181.json,4418,35065,37620,SUCCESS,72,12,84,10 October 2019,1450000.0,3132000.0,False,,,
44214.json,44214,35068,37621,SUCCESS,16,0,16,11 June 2016,100000.0,121600.0,False,,,
44261.json,44261,35064,37622,SUCCESS,21,0,21,18 June 2016,100000.0,126000.0,False,,,
44316.json,44316,35069,37623,SUCCESS,21,0,21,30 June 2016,140000.0,176400.0,False,,,
44412.json,44412,35066,37624,SUCCESS,21,0,21,18 July 2016,50000.0,64575.0,False,,,
44485.json,44485,35070,37625,SUCCESS,16,0,16,30 July 2016,200000.0,240000.0,False,,,
44545.json,44545,35071,37626,SUCCESS,31,0,31,16 August 2016,280000.0,358444.0,False,,,
44559.json,44559,35072,37627,SUCCESS,32,0,32,19 August 2016,250000.0,340800.0,False,,,
44560.json,44560,35073,37628,SUCCESS,21,0,21,20 August 2016,120000.0,154875.0,False,,,
44586.json,44586,35074,37629,SUCCESS,16,0,16,25 August 2016,60000.0,72960.0,False,,,
44708.json,44708,35075,37630,SUCCESS,21,0,21,21 September 2016,100000.0,129150.0,False,,,
